kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
98,1782485091.55571,3.762,-2.2412,0.95971,lidar,native_s2s,pnp,proximity,0.8859
99,1782485092.188122,3.8823,-1.9819,1.20183,lidar,native_s2s,pnp,proximity,0.8367
100,1782485092.495921,3.9011,-1.8553,1.41291,lidar,native_s2s,pnp,proximity,0.8254
101,1782485092.914992,3.8896,-1.6902,1.6667,lidar,native_s2s,pnp,proximity,0.7849
102,1782485093.338189,3.8281,-1.5341,1.88616,lidar,native_s2s,pnp,proximity,0.7
103,1782485093.75692,3.8274,-1.3682,1.63804,lidar,native_s2s,pnp,proximity,0.6863
104,1782485094.37805,3.8396,-1.1119,1.52105,lidar,native_s2s,pnp,proximity,0.7239
105,1782485094.695624,3.8981,-1.0073,1.3014,lidar,native_s2s,pnp,proximity,0.6615
106,1782485095.009222,3.9438,-0.8922,1.03256,lidar,native_s2s,pnp,proximity,0.7534
107,1782485095.629541,4.1046,-0.6729,0.9174,lidar,native_s2s,pnp,proximity,0.794
108,1782485096.147815,4.2696,-0.5287,0.70287,lidar,native_s2s,pnp,proximity,0.8167
109,1782485096.776169,4.4646,-0.3686,0.60922,lidar,native_s2s,pnp,proximity,0.84
110,1782485097.307958,4.6566,-0.2714,0.39536,lidar,native_s2s,pnp,proximity,0.8276
111,1782485097.928268,4.9079,-0.1837,0.29879,lidar,native_s2s,pnp,proximity,0.8908
112,1782485098.555299,5.1793,-0.0855,0.30401,lidar,native_s2s,pnp,proximity,0.7611
113,1782485098.868408,5.2968,-0.0074,0.5256,lidar,native_s2s,pnp,proximity,0.7308
114,1782485099.292497,5.398,0.164,0.79949,lidar,native_s2s,pnp,proximity,0.7609
115,1782485099.703828,5.4904,0.3436,1.06534,lidar,native_s2s,pnp,proximity,0.7844
116,1782485100.121021,5.5215,0.5113,1.33257,lidar,native_s2s,pnp,proximity,0.8415
117,1782485102.213748,5.5377,0.62,1.54373,lidar,native_s2s,pnp,proximity,0.8728
118,1782485102.949507,5.5769,0.3559,1.40275,lidar,native_s2s,pnp,proximity,0.8227
119,1782485103.257081,5.5779,0.2517,1.18904,lidar,native_s2s,pnp,proximity,0.8747
120,1782485103.570121,5.5532,0.1363,0.96721,lidar,native_s2s,pnp,proximity,0.821
121,1782485103.880879,5.4903,0.0322,0.72764,lidar,native_s2s,pnp,proximity,0.8229
122,1782485105.942028,5.6944,0.1716,0.48137,lidar,native_s2s,pnp,proximity,0.8603
123,1782485106.66832,5.9547,0.2892,0.31967,lidar,native_s2s,pnp,proximity,0.8244
124,1782485107.302111,6.1887,0.3727,0.0385,lidar,native_s2s,pnp,proximity,0.762
125,1782485107.933465,6.4756,0.4103,-0.08696,lidar,native_s2s,pnp,proximity,0.8188
126,1782485108.563862,6.741,0.4064,-0.18298,lidar,native_s2s,pnp,proximity,0.8832
127,1782485109.195562,6.9964,0.3781,-0.28227,lidar,native_s2s,pnp,proximity,0.8938
128,1782485109.82696,7.2624,0.3728,-0.13481,lidar,native_s2s,pnp,proximity,0.88
129,1782485110.450483,7.5304,0.3669,-0.13748,lidar,native_s2s,pnp,proximity,0.8874
130,1782485111.078835,7.8001,0.3869,-0.08424,lidar,native_s2s,pnp,proximity,0.8996
131,1782485111.705197,8.0637,0.4457,0.07827,lidar,native_s2s,pnp,proximity,0.89
132,1782485112.444068,8.3187,0.4442,0.22402,lidar,native_s2s,pnp,proximity,0.8548
133,1782485114.528618,8.3306,0.3931,0.2229,lidar,native_s2s,pnp,proximity,0.9747
134,1782485116.528905,8.3272,0.3532,0.22508,lidar,native_s2s,pnp,proximity,0.9789
135,1782485118.618679,8.3244,0.3217,0.22876,lidar,native_s2s,pnp,proximity,0.97
136,1782485120.715216,8.3166,0.2863,0.22969,lidar,native_s2s,pnp,proximity,0.9483
