kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
179,1782485150.060565,13.2527,-0.7134,1.60913,lidar,native_s2s,icp,proximity,0.6923
180,1782485150.792792,13.2633,-0.4298,1.40282,lidar,native_s2s,icp,proximity,0.7726
181,1782485151.420038,13.3295,-0.1583,1.10799,lidar,native_s2s,icp,proximity,0.7358
182,1782485151.734672,13.3976,-0.0426,0.88471,lidar,native_s2s,icp,proximity,0.7889
183,1782485152.052355,13.4729,0.038,0.66983,lidar,native_s2s,icp,proximity,0.7576
184,1782485152.771079,13.6737,0.1952,0.44404,lidar,native_s2s,icp,proximity,0.7986
185,1782485153.086344,13.7839,0.2249,0.21683,lidar,native_s2s,icp,proximity,0.7531
186,1782485153.8172,14.3554,0.347,0.04232,lidar,native_s2s,icp,proximity,0.8803
187,1782485154.545366,14.6384,0.3465,-0.12906,lidar,native_s2s,icp,proximity,0.8981
188,1782485155.164221,14.9126,0.3423,-0.03945,lidar,native_s2s,icp,proximity,0.8192
189,1782485155.791143,15.1764,0.3659,-0.0415,lidar,native_s2s,icp,proximity,0.829
190,1782485156.415693,15.4443,0.3807,-0.04741,lidar,native_s2s,icp,proximity,0.8383
191,1782485157.038153,15.7653,0.3847,-0.06204,lidar,native_s2s,icp,proximity,0.8311
192,1782485157.659814,16.0292,0.3932,-0.07959,lidar,native_s2s,icp,proximity,0.8529
193,1782485158.175256,16.285,0.4303,0.14504,lidar,native_s2s,icp,proximity,0.7982
194,1782485158.492107,16.3999,0.5074,0.36426,lidar,native_s2s,icp,proximity,0.8129
195,1782485158.798456,16.4975,0.5976,0.58146,lidar,native_s2s,icp,proximity,0.821
196,1782485159.217222,16.5793,0.7353,0.84574,lidar,native_s2s,icp,proximity,0.803
197,1782485159.947647,16.7118,0.9842,0.98352,lidar,native_s2s,icp,proximity,0.8638
198,1782485160.682245,16.8108,1.2577,1.14677,lidar,native_s2s,icp,proximity,0.8675
199,1782485161.405035,16.8224,1.5343,1.42137,lidar,native_s2s,icp,proximity,0.8289
200,1782485162.972049,16.7856,1.6463,1.63446,lidar,native_s2s,icp,proximity,0.9316
201,1782485163.705264,16.8416,1.3805,1.57165,lidar,native_s2s,icp,proximity,0.8781
202,1782485164.010738,16.842,1.2687,1.34036,lidar,native_s2s,icp,proximity,0.8709
203,1782485164.425567,16.8495,0.9926,1.21178,lidar,native_s2s,icp,proximity,0.9183
204,1782485164.945474,16.8142,0.7258,1.01492,lidar,native_s2s,icp,proximity,0.8833
205,1782485165.258833,16.7472,0.5898,0.74983,lidar,native_s2s,icp,proximity,0.8649
206,1782485165.575407,16.6643,0.461,0.48343,lidar,native_s2s,icp,proximity,0.8475
207,1782485165.888425,16.4896,0.4009,0.1851,lidar,native_s2s,icp,proximity,0.8507
208,1782485167.243453,16.3387,0.3117,-0.04601,lidar,native_s2s,icp,proximity,0.9129
209,1782485167.7645,16.4433,0.2767,-0.29832,lidar,native_s2s,icp,proximity,0.928
210,1782485168.182791,16.5183,0.215,-0.54992,lidar,native_s2s,icp,proximity,0.9175
211,1782485168.500811,16.5827,0.1577,-0.76519,lidar,native_s2s,icp,proximity,0.8895
212,1782485169.223878,16.7766,-0.0419,-0.91069,lidar,native_s2s,icp,proximity,0.9112
213,1782485169.848062,16.9219,-0.2635,-1.05558,lidar,native_s2s,icp,proximity,0.8889
214,1782485170.474132,17.0542,-0.4935,-1.16658,lidar,native_s2s,icp,proximity,0.8909
215,1782485171.209901,17.1419,-0.7519,-1.41304,lidar,native_s2s,icp,proximity,0.8893
216,1782485171.942522,17.0755,-1.1553,-1.63878,lidar,native_s2s,icp,proximity,0.8747
217,1782485173.503243,17.102,-0.898,-1.71648,lidar,native_s2s,icp,proximity,0.9116
218,1782485174.234536,17.0995,-0.6,-1.50429,lidar,native_s2s,icp,proximity,0.9333
219,1782485174.86253,17.0802,-0.3199,-1.25099,lidar,native_s2s,icp,proximity,0.8465
220,1782485175.382258,16.9531,-0.0923,-1.11105,lidar,native_s2s,icp,proximity,0.9076
221,1782485175.797185,16.9655,0.0641,-0.78618,lidar,native_s2s,icp,proximity,0.8836
222,1782485176.11374,16.8616,0.1451,-0.47683,lidar,native_s2s,icp,proximity,0.8857
223,1782485176.740731,16.6129,0.2288,-0.32034,lidar,native_s2s,icp,proximity,0.9132
224,1782485177.986815,16.8575,0.1562,-0.16671,lidar,native_s2s,icp,proximity,0.8995
225,1782485178.720358,17.1115,0.1383,-0.07065,lidar,native_s2s,icp,proximity,0.9211
226,1782485179.552388,17.3503,0.2546,-0.03002,lidar,native_s2s,icp,proximity,0.927
227,1782485180.382407,17.6414,0.2385,-0.20982,lidar,native_s2s,icp,proximity,0.7963
228,1782485181.105777,17.9233,0.2196,-0.12922,lidar,native_s2s,icp,proximity,0.8221
229,1782485181.835889,18.2063,0.1682,-0.15775,lidar,native_s2s,icp,proximity,0.8263
230,1782485182.465793,18.4777,0.1333,-0.16465,lidar,native_s2s,icp,proximity,0.7446
231,1782485183.090636,18.7642,0.149,-0.05801,lidar,native_s2s,icp,proximity,0.7715
232,1782485183.714364,19.0252,0.1125,-0.07488,lidar,native_s2s,icp,proximity,0.7805
233,1782485184.335203,19.3071,0.0775,-0.08629,lidar,native_s2s,icp,proximity,0.8363
234,1782485184.956235,19.5894,0.0504,-0.09697,lidar,native_s2s,icp,proximity,0.8284
235,1782485185.577271,19.8746,0.0089,-0.11257,lidar,native_s2s,icp,proximity,0.7828
236,1782485186.202029,20.1514,-0.021,-0.12792,lidar,native_s2s,icp,proximity,0.8014
237,1782485187.247098,20.3951,-0.0796,-0.15295,lidar,native_s2s,icp,proximity,0.8073
238,1782485187.975322,20.5235,-0.1453,-0.38126,lidar,native_s2s,icp,proximity,0.8668
239,1782485188.707301,20.7009,-0.2589,-0.59634,lidar,native_s2s,icp,proximity,0.8224
240,1782485189.125931,20.7837,-0.3574,-0.82247,lidar,native_s2s,icp,proximity,0.8193
241,1782485189.857795,20.9584,-0.563,-0.95851,lidar,native_s2s,icp,proximity,0.8002
242,1782485190.588465,21.0711,-0.7993,-1.02528,lidar,native_s2s,icp,proximity,0.7846
243,1782485191.316757,21.2377,-1.0097,-0.85752,lidar,native_s2s,icp,proximity,0.8623
244,1782485191.735401,21.3841,-1.1062,-0.61768,lidar,native_s2s,icp,proximity,0.8185
245,1782485192.157131,21.5336,-1.145,-0.3646,lidar,native_s2s,icp,proximity,0.7636
246,1782485192.788691,21.7768,-1.2296,-0.3667,lidar,native_s2s,icp,proximity,0.7931
247,1782485193.416585,22.0295,-1.3166,-0.39128,lidar,native_s2s,icp,proximity,0.8458
248,1782485193.934931,22.2697,-1.3957,-0.27616,lidar,native_s2s,icp,proximity,0.7516
249,1782485194.765338,22.5434,-1.4337,-0.21931,lidar,native_s2s,icp,proximity,0.8887
250,1782485195.49221,22.802,-1.453,-0.0586,lidar,native_s2s,icp,proximity,0.887
251,1782485196.221686,23.0567,-1.4539,-0.02615,lidar,native_s2s,icp,proximity,0.8105
252,1782485196.95258,23.3159,-1.4084,0.10848,lidar,native_s2s,icp,proximity,0.8224
253,1782485197.465388,23.5108,-1.3249,0.3714,lidar,native_s2s,icp,proximity,0.7842
254,1782485197.887251,23.6321,-1.2145,0.63787,lidar,native_s2s,icp,proximity,0.8016
255,1782485198.302069,23.7123,-1.0872,0.88444,lidar,native_s2s,icp,proximity,0.8025
256,1782485199.036687,23.8505,-0.8436,0.99104,lidar,native_s2s,icp,proximity,0.8258
257,1782485199.870132,23.9008,-0.5792,1.23874,lidar,native_s2s,icp,proximity,0.8313
258,1782485200.704145,23.9832,-0.3129,1.07906,lidar,native_s2s,icp,proximity,0.8027
259,1782485201.537427,24.1027,-0.0827,0.83797,lidar,native_s2s,icp,proximity,0.8394
260,1782485202.36309,24.2809,0.1087,0.62566,lidar,native_s2s,icp,proximity,0.859
261,1782485202.890028,24.3968,0.1691,0.39856,lidar,native_s2s,icp,proximity,0.8509
262,1782485203.410241,24.5361,0.2339,0.18285,lidar,native_s2s,icp,proximity,0.8003
263,1782485204.144153,24.7432,0.2518,-0.03816,lidar,native_s2s,icp,proximity,0.8105
264,1782485204.862689,25.0055,0.2396,-0.1264,lidar,native_s2s,icp,proximity,0.7976
265,1782485205.591198,25.275,0.245,-0.12533,lidar,native_s2s,icp,proximity,0.8084
266,1782485206.318151,25.5655,0.2485,-0.08833,lidar,native_s2s,icp,proximity,0.7839
267,1782485207.039674,25.8366,0.2436,-0.1039,lidar,native_s2s,icp,proximity,0.8225
268,1782485207.45471,25.9616,0.2038,-0.33081,lidar,native_s2s,icp,proximity,0.7889
