pair_id,t_query,t_cand,n_runs,ever_accepted
448,1782485363.877,1782485072.100,3,2
449,1782485363.877,1782485072.422,3,3
450,1782485365.090,1782485079.619,3,2
451,1782485365.090,1782485080.020,4,3
452,1782485365.125,1782485071.152,1,1
453,1782485365.125,1782485071.780,1,1
454,1782485365.125,1782485072.100,1,0
455,1782485365.125,1782485072.422,1,0
456,1782485365.125,1782485080.638,1,1
457,1782485366.072,1782485070.419,1,0
458,1782485366.072,1782485080.638,2,2
459,1782485366.072,1782485081.163,3,2
460,1782485366.090,1782485080.020,3,2
461,1782485367.290,1782485081.022,3,2
462,1782485367.490,1782485068.010,3,2
463,1782485367.490,1782485082.554,3,2
464,1782485367.647,1782485068.746,2,2
465,1782485367.647,1782485069.368,2,2
466,1782485367.647,1782485069.998,1,1
467,1782485367.647,1782485082.605,1,1
468,1782485368.157,1782485083.220,3,2
469,1782485368.157,1782485083.886,3,2
470,1782485368.782,1782485067.503,1,0
471,1782485368.782,1782485067.817,3,2
472,1782485368.782,1782485083.339,2,2
473,1782485370.027,1782485066.258,1,0
474,1782485370.027,1782485066.569,1,0
475,1782485370.027,1782485085.939,1,1
476,1782485370.027,1782485087.095,2,2
477,1782485370.027,1782485087.615,1,1
478,1782485370.652,1782485085.106,3,2
479,1782485370.652,1782485087.199,3,2
480,1782485372.842,1782485064.886,1,1
481,1782485372.842,1782485065.513,3,2
482,1782485372.842,1782485065.940,1,1
483,1782485372.842,1782485352.950,1,0
484,1782485374.029,1782485092.630,3,3
485,1782485374.309,1782485064.466,3,2
486,1782485374.309,1782485091.556,3,3
487,1782485376.184,1782485062.369,3,2
488,1782485376.184,1782485093.757,2,2
489,1782485376.184,1782485349.310,1,0
490,1782485377.442,1782485094.277,3,3
491,1782485377.442,1782485094.696,3,2
492,1782485378.579,1782485094.696,3,0
493,1782485378.579,1782485320.528,3,0
494,1782485378.780,1782485094.696,3,1
495,1782485378.912,1782485059.470,2,1
496,1782485378.912,1782485059.679,1,1
497,1782485378.912,1782485059.884,2,1
498,1782485378.912,1782485060.194,1,1
499,1782485378.980,1782485269.954,3,0
500,1782485379.748,1782485059.679,3,2
501,1782485379.748,1782485060.090,3,2
502,1782485381.712,1782485059.470,2,1
503,1782485381.712,1782485059.679,3,2
504,1782485381.712,1782485096.776,1,1
505,1782485383.068,1782485058.746,3,2
506,1782485383.068,1782485059.060,3,2
507,1782485384.946,1782485056.351,2,0
508,1782485384.946,1782485056.558,2,0
509,1782485384.946,1782485057.390,1,1
510,1782485384.946,1782485058.017,1,1
511,1782485385.991,1782485055.621,3,3
512,1782485385.991,1782485056.250,3,3
513,1782485388.060,1782485053.658,2,2
514,1782485388.060,1782485054.065,3,3
515,1782485388.060,1782485055.210,1,1
516,1782485388.509,1782485055.136,3,1
517,1782485388.999,1782485052.508,3,2
518,1782485388.999,1782485053.136,3,2
519,1782485391.704,1782485050.866,3,3
520,1782485392.371,1782485022.772,3,2
521,1782485392.371,1782485041.596,3,2
522,1782485392.843,1782485039.562,1,1
523,1782485392.843,1782485050.960,3,2
524,1782485392.843,1782485051.682,2,2
525,1782485393.038,1782485022.772,3,2
526,1782485393.038,1782485047.596,3,2
527,1782485393.705,1782485024.781,3,2
528,1782485394.371,1782485043.595,3,2
529,1782485396.048,1782485027.025,3,2
530,1782485396.048,1782485033.283,1,0
531,1782485396.048,1782485045.749,2,2
532,1782485398.374,1782485024.781,3,3
533,1782485400.378,1782485024.781,3,3
534,1782485400.378,1782485033.583,3,3
535,1782485402.381,1782485024.781,3,3
536,1782485402.381,1782485033.583,3,3
537,1782485403.253,1782485035.367,1,1
538,1782485403.253,1782485047.843,2,1
539,1782485403.253,1782485049.927,2,1
540,1782485403.253,1782485050.960,1,1
541,1782485406.505,1782485022.859,1,1
542,1782485406.505,1782485027.025,3,2
543,1782485406.505,1782485033.283,1,0
544,1782485406.505,1782485045.749,1,1
545,1782485408.392,1782485024.781,3,2
546,1782485410.392,1782485024.781,3,2
547,1782485412.392,1782485024.781,3,2
548,1782485412.392,1782485043.595,3,2
549,1782485413.666,1782485047.843,3,2
550,1782485413.666,1782485049.927,3,3
551,1782485414.396,1782485022.772,3,2
552,1782485414.396,1782485045.598,3,2
