pair_id,t_query,t_cand,n_runs,ever_accepted
363,1782492078.004,1782492044.761,3,0
364,1782492078.004,1782492045.699,3,0
365,1782492078.951,1782492045.909,3,0
366,1782492078.951,1782492046.957,3,0
367,1782492078.951,1782492048.214,3,0
368,1782492081.862,1782492048.214,3,0
369,1782492081.862,1782492049.571,3,0
370,1782492081.862,1782492050.927,3,0
371,1782492083.517,1782492050.622,3,0
372,1782492083.517,1782492051.658,3,0
373,1782492083.517,1782492052.701,3,0
374,1782492085.190,1782492052.701,3,1
375,1782492085.190,1782492053.747,3,1
376,1782492085.190,1782492054.486,3,1
377,1782492087.905,1782492053.747,3,0
378,1782492087.905,1782492054.486,3,0
379,1782492087.905,1782492055.221,3,0
380,1782492089.359,1782492052.076,2,0
381,1782492089.359,1782492052.701,3,0
382,1782492089.359,1782492053.747,3,0
383,1782492089.359,1782492054.486,1,0
384,1782492090.818,1782492052.701,3,0
385,1782492090.818,1782492053.747,3,0
386,1782492090.818,1782492054.486,3,0
387,1782492092.585,1782492050.927,2,0
388,1782492092.585,1782492052.076,3,0
389,1782492092.585,1782492052.701,3,0
390,1782492092.585,1782492053.747,1,0
391,1782492095.187,1782492052.701,3,1
392,1782492095.187,1782492053.747,3,1
393,1782492095.187,1782492054.486,3,1
394,1782492096.329,1782492050.927,3,2
395,1782492096.329,1782492052.076,3,2
396,1782492096.329,1782492052.701,3,1
397,1782492098.924,1782492051.658,1,0
398,1782492098.924,1782492052.701,3,1
399,1782492098.924,1782492053.747,3,1
400,1782492098.924,1782492054.486,2,1
401,1782492100.182,1782492049.571,1,0
402,1782492100.182,1782492050.927,1,0
403,1782492100.182,1782492052.076,3,1
404,1782492100.182,1782492052.701,2,1
405,1782492100.182,1782492053.747,2,1
406,1782492103.623,1782492053.747,3,2
407,1782492103.623,1782492054.486,3,3
408,1782492103.623,1782492055.221,3,3
409,1782492104.566,1782492050.927,1,0
410,1782492104.566,1782492052.076,1,0
411,1782492104.566,1782492052.701,1,0
412,1782492104.566,1782492054.486,2,1
413,1782492104.566,1782492055.221,2,1
414,1782492104.566,1782492055.850,2,1
415,1782492108.310,1782492058.347,3,2
416,1782492108.310,1782492059.588,3,2
417,1782492108.310,1782492060.629,3,2
418,1782492108.517,1782492055.850,1,0
419,1782492108.517,1782492057.202,1,0
420,1782492108.517,1782492058.557,2,1
421,1782492108.517,1782492059.899,1,1
422,1782492108.517,1782492060.736,1,1
423,1782492108.517,1782492062.497,1,0
424,1782492108.517,1782492063.840,1,0
425,1782492108.517,1782492065.288,1,0
426,1782492113.387,1782492060.736,1,0
427,1782492113.387,1782492062.497,1,0
428,1782492113.387,1782492063.840,1,0
429,1782492113.387,1782492066.641,2,2
430,1782492113.387,1782492067.786,2,2
431,1782492113.387,1782492069.040,2,2
432,1782492113.699,1782492066.121,3,2
433,1782492113.699,1782492067.166,3,2
434,1782492113.699,1782492068.204,3,3
435,1782492116.685,1782492070.315,3,3
436,1782492117.773,1782492066.641,1,0
437,1782492117.773,1782492067.786,1,0
438,1782492117.773,1782492069.040,1,0
