kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
163,1781020382.253018,19.6758,-1.6016,-1.91732,lidar,native_s2m,icp,proximity,0.8901
164,1781020383.301025,19.5926,-1.7827,-2.13012,lidar,native_s2m,icp,proximity,0.8496
165,1781020384.23011,19.5271,-1.8581,-2.35519,lidar,native_s2m,icp,proximity,0.9028
166,1781020385.270248,19.4159,-1.9412,-2.56459,lidar,native_s2m,icp,proximity,0.8665
167,1781020386.63072,19.2406,-2.0142,-2.79909,lidar,native_s2m,icp,proximity,0.8912
168,1781020387.362075,19.1236,-2.0305,-3.02608,lidar,native_s2m,icp,proximity,0.8785
169,1781020388.50787,18.9174,-2.0247,3.03898,lidar,native_s2m,icp,proximity,0.8197
170,1781020389.76141,18.6477,-1.9981,2.93222,lidar,native_s2m,icp,proximity,0.8869
171,1781020390.593367,18.446,-2.0072,2.68391,lidar,native_s2m,icp,proximity,0.8942
172,1781020391.947697,18.2792,-1.8952,2.4537,lidar,native_s2m,icp,proximity,0.8675
173,1781020392.576093,18.2231,-1.811,2.20521,lidar,native_s2m,icp,proximity,0.8929
174,1781020393.208205,18.1712,-1.7089,1.99406,lidar,native_s2m,icp,proximity,0.908
175,1781020394.248391,18.087,-1.4878,1.77309,lidar,native_s2m,icp,proximity,0.8839
176,1781020394.878897,18.0834,-1.3789,1.55993,lidar,native_s2m,icp,proximity,0.9083
177,1781020396.334635,18.1054,-1.1296,1.36925,lidar,native_s2m,icp,proximity,0.9072
178,1781020397.482985,18.1654,-0.9219,1.15752,lidar,native_s2m,icp,proximity,0.9157
179,1781020398.936787,18.2861,-0.6886,1.02591,lidar,native_s2m,icp,proximity,0.9265
180,1781020400.39118,18.4152,-0.4725,0.88807,lidar,native_s2m,icp,proximity,0.9447
181,1781020401.846659,18.5844,-0.2584,0.79286,lidar,native_s2m,icp,proximity,0.9142
182,1781020402.992895,18.7653,-0.0779,0.69501,lidar,native_s2m,icp,proximity,0.909
183,1781020404.234811,18.9715,0.1022,0.68459,lidar,native_s2m,icp,proximity,0.8971
184,1781020404.964036,19.0476,0.2307,0.91867,lidar,native_s2m,icp,proximity,0.9355
185,1781020406.105844,19.1538,0.4748,1.14276,lidar,native_s2m,icp,proximity,0.928
186,1781020407.458501,19.1999,0.7308,1.23561,lidar,native_s2m,icp,proximity,0.9012
187,1781020409.009735,19.2684,0.9769,1.21693,lidar,native_s2m,icp,proximity,0.9297
188,1781020410.880631,19.3795,1.1824,0.98658,lidar,native_s2m,icp,proximity,0.9423
189,1781020411.711722,19.4571,1.2647,0.77695,lidar,native_s2m,icp,proximity,0.9301
190,1781020413.166474,19.5986,1.3686,0.56081,lidar,native_s2m,icp,proximity,0.9369
191,1781020414.198505,19.7987,1.4646,0.33681,lidar,native_s2m,icp,proximity,0.9453
192,1781020415.24612,19.9917,1.509,0.12576,lidar,native_s2m,icp,proximity,0.9141
193,1781020416.599519,20.1993,1.5193,-0.09451,lidar,native_s2m,icp,proximity,0.9131
194,1781020417.329572,20.2999,1.491,-0.3056,lidar,native_s2m,icp,proximity,0.8692
195,1781020418.064908,20.4034,1.4366,-0.51905,lidar,native_s2m,icp,proximity,0.9267
196,1781020419.009058,20.579,1.3241,-0.75981,lidar,native_s2m,icp,proximity,0.9211
197,1781020419.528108,20.6334,1.2439,-0.99324,lidar,native_s2m,icp,proximity,0.8939
198,1781020420.790262,20.7485,1.0033,-1.23982,lidar,native_s2m,icp,proximity,0.9035
199,1781020421.52565,20.784,0.8393,-1.47488,lidar,native_s2m,icp,proximity,0.9324
200,1781020422.664295,20.7687,0.652,-1.68775,lidar,native_s2m,icp,proximity,0.9098
201,1781020424.433185,20.7239,0.4182,-1.89784,lidar,native_s2m,icp,proximity,0.9046
202,1781020425.15955,20.6905,0.338,-2.12017,lidar,native_s2m,icp,proximity,0.9406
203,1781020426.50824,20.5269,0.1306,-2.33748,lidar,native_s2m,icp,proximity,0.9357
204,1781020427.341276,20.3772,0.0118,-2.58073,lidar,native_s2m,icp,proximity,0.9447
205,1781020428.061797,20.2536,-0.0505,-2.7981,lidar,native_s2m,icp,proximity,0.9531
