kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
102,1782491903.288866,8.6416,0.0777,-0.1288,lidar,native_s2m,icp,proximity,0.8739
103,1782491904.325719,8.913,0.0598,-0.14639,lidar,native_s2m,icp,proximity,0.8613
104,1782491905.358742,9.1813,0.0399,-0.16083,lidar,native_s2m,icp,proximity,0.8488
105,1782491906.294664,9.4423,0.0079,-0.18134,lidar,native_s2m,icp,proximity,0.8409
106,1782491907.224946,9.7157,-0.0027,-0.10502,lidar,native_s2m,icp,proximity,0.8399
107,1782491908.258975,9.992,0.0056,-0.01961,lidar,native_s2m,icp,proximity,0.8247
108,1782491909.184413,10.2416,0.0232,-0.03535,lidar,native_s2m,icp,proximity,0.7916
109,1782491911.25198,10.2734,0.0135,-0.03518,lidar,native_s2m,icp,proximity,0.8957
110,1782491913.335053,10.2719,0.0127,-0.0354,lidar,native_s2m,icp,proximity,0.9012
111,1782491915.403754,10.2723,0.0136,-0.03506,lidar,native_s2m,icp,proximity,0.902
112,1782491917.48194,10.2662,0.0115,-0.03621,lidar,native_s2m,icp,proximity,0.9101
113,1782491919.134266,10.5257,0.0201,-0.05084,lidar,native_s2m,icp,proximity,0.8407
114,1782491920.074015,10.8134,0.0332,-0.06473,lidar,native_s2m,icp,proximity,0.7937
115,1782491921.002328,11.0812,0.0197,-0.07758,lidar,native_s2m,icp,proximity,0.8362
116,1782491922.046029,11.3545,0.0173,-0.09712,lidar,native_s2m,icp,proximity,0.8545
117,1782491924.1311,11.4126,0.0142,-0.09828,lidar,native_s2m,icp,proximity,0.8871
118,1782491925.379841,11.6795,-0.0008,-0.10936,lidar,native_s2m,icp,proximity,0.8979
119,1782491926.42446,11.9304,-0.0108,-0.13621,lidar,native_s2m,icp,proximity,0.8682
120,1782491927.247711,12.0992,-0.053,-0.34909,lidar,native_s2m,icp,proximity,0.8964
121,1782491928.499002,12.3288,-0.1535,-0.53305,lidar,native_s2m,icp,proximity,0.8886
122,1782491929.75363,12.4928,-0.2965,-0.75185,lidar,native_s2m,icp,proximity,0.8648
123,1782491931.107505,12.677,-0.4964,-0.94589,lidar,native_s2m,icp,proximity,0.8593
124,1782491932.26471,12.8344,-0.7162,-1.06196,lidar,native_s2m,icp,proximity,0.8996
125,1782491933.401519,12.9692,-0.9273,-1.07173,lidar,native_s2m,icp,proximity,0.9075
126,1782491934.444618,13.1235,-1.159,-1.04548,lidar,native_s2m,icp,proximity,0.8848
127,1782491935.58745,13.284,-1.3754,-1.01536,lidar,native_s2m,icp,proximity,0.8933
128,1782491936.724483,13.4126,-1.6077,-1.15596,lidar,native_s2m,icp,proximity,0.8355
129,1782491937.865408,13.5143,-1.8569,-1.31379,lidar,native_s2m,icp,proximity,0.8945
130,1782491938.591047,13.5216,-2.0051,-1.54793,lidar,native_s2m,icp,proximity,0.8258
131,1782491939.214975,13.5199,-2.0939,-1.76767,lidar,native_s2m,icp,proximity,0.9026
132,1782491940.36145,13.4735,-2.2115,-1.98238,lidar,native_s2m,icp,proximity,0.9302
133,1782491942.140157,13.4034,-2.3252,-2.19897,lidar,native_s2m,icp,proximity,0.9347
134,1782491944.239644,13.3116,-2.4246,-2.39075,lidar,native_s2m,icp,proximity,0.943
135,1782491945.385961,13.1956,-2.5055,-2.61512,lidar,native_s2m,icp,proximity,0.9399
136,1782491946.528985,13.076,-2.554,-2.82504,lidar,native_s2m,icp,proximity,0.9431
137,1782491947.470183,12.9766,-2.5733,-3.04425,lidar,native_s2m,icp,proximity,0.9284
138,1782491948.608189,12.8438,-2.5664,3.0231,lidar,native_s2m,icp,proximity,0.9503
139,1782491950.695028,12.7871,-2.5471,2.86281,lidar,native_s2m,icp,proximity,0.9296
140,1782491951.321965,12.9229,-2.5757,2.61978,lidar,native_s2m,icp,proximity,0.9139
141,1782491953.198002,12.8972,-2.5264,2.40841,lidar,native_s2m,icp,proximity,0.9332
142,1782491954.663559,12.7609,-2.3711,2.19537,lidar,native_s2m,icp,proximity,0.9402
143,1782491955.609718,12.677,-2.2457,1.97043,lidar,native_s2m,icp,proximity,0.9146
144,1782491956.44751,12.6466,-2.1238,1.74412,lidar,native_s2m,icp,proximity,0.9428
145,1782491957.582257,12.6479,-1.9456,1.51789,lidar,native_s2m,icp,proximity,0.9113
146,1782491958.729682,12.6725,-1.6886,1.3779,lidar,native_s2m,icp,proximity,0.9276
147,1782491959.873446,12.7331,-1.4312,1.26523,lidar,native_s2m,icp,proximity,0.9257
148,1782491960.912005,12.8144,-1.1875,1.15025,lidar,native_s2m,icp,proximity,0.911
149,1782491961.739808,12.8409,-0.9541,1.365,lidar,native_s2m,icp,proximity,0.9149
150,1782491962.367459,12.8278,-0.8096,1.60354,lidar,native_s2m,icp,proximity,0.92
151,1782491964.038593,12.83,-0.6063,1.36654,lidar,native_s2m,icp,proximity,0.9119
152,1782491964.86834,12.8782,-0.5228,1.12641,lidar,native_s2m,icp,proximity,0.9181
153,1782491965.602074,12.9329,-0.4513,0.90072,lidar,native_s2m,icp,proximity,0.9168
