# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
128 1776785639.846785 -0.145576 -0.209891 -0.016916 0.831941 197 -0.023270 -0.003506 -0.006185 1 1
129 1776785639.951242 -0.114038 -0.208906 -0.019764 0.881249 194 -0.018462 0.000984 -0.002847 1 1
130 1776785640.056550 -0.083796 -0.211903 -0.025432 0.886598 196 -0.019758 -0.002996 -0.005669 1 1
131 1776785640.161144 -0.049927 -0.212809 -0.028649 0.863616 198 -0.016131 -0.000906 -0.003217 1 1
132 1776785640.270074 -0.008028 -0.208317 -0.030822 0.868307 195 -0.008101 0.004492 -0.002172 1 1
133 1776785640.374906 0.037527 -0.208968 -0.034843 0.833634 198 -0.004445 -0.000652 -0.004021 1 1
134 1776785640.475601 0.077086 -0.212957 -0.038926 0.835413 195 -0.010441 -0.003989 -0.004083 1 1
135 1776785640.580351 0.115969 -0.214558 -0.041922 0.854316 194 -0.011117 -0.001601 -0.002996 1 1
136 1776785640.684582 0.159481 -0.212828 -0.046341 0.863061 204 -0.006488 0.001730 -0.004419 1 1
137 1776785640.793135 0.204150 -0.213377 -0.051154 0.841164 199 -0.005330 -0.000548 -0.004813 1 1
138 1776785640.893468 0.249337 -0.217719 -0.059212 0.820800 200 -0.004814 -0.004343 -0.008058 1 1
139 1776785640.998678 0.281651 -0.217872 -0.064089 0.806097 198 -0.017686 -0.000152 -0.004877 1 1
140 1776785641.103281 0.313954 -0.222604 -0.069582 0.803458 204 -0.017697 -0.004732 -0.005493 1 1
141 1776785641.207964 0.346516 -0.225539 -0.071721 0.811484 200 -0.017438 -0.002935 -0.002138 1 1
142 1776785641.317400 0.374080 -0.227184 -0.076763 0.801749 197 0.027564 -0.001645 -0.005042 1 1
143 1776785641.419826 0.401242 -0.231645 -0.079736 0.814822 199 -0.022839 -0.004461 -0.002973 1 1
144 1776785641.526780 0.423776 -0.235257 -0.082476 0.819169 200 0.022534 -0.003611 -0.002740 1 1
145 1776785641.630831 0.446206 -0.237596 -0.087902 0.793580 199 -0.027570 -0.002339 -0.005427 1 1
146 1776785641.733401 0.465832 -0.238246 -0.090656 0.806959 207 0.019626 -0.000650 -0.002754 1 1
147 1776785641.837454 0.484125 -0.242110 -0.091042 0.829553 194 0.018293 -0.003865 -0.000386 1 1
148 1776785641.944114 0.502325 -0.244922 -0.094562 0.814822 195 0.018200 -0.002812 -0.003520 1 1
149 1776785642.046907 0.513549 -0.248567 -0.095822 0.857007 194 0.011224 -0.003645 -0.001260 1 1
150 1776785642.155160 0.531312 -0.246743 -0.098840 0.839434 199 0.017763 0.001824 -0.003019 1 1
151 1776785642.255867 0.543270 -0.251178 -0.100637 0.879442 200 0.011958 -0.004436 -0.001797 1 1
152 1776785642.364609 0.558758 -0.251780 -0.102532 0.854318 196 0.015488 -0.000602 -0.001894 1 1
153 1776785642.465089 0.569594 -0.257154 -0.104624 0.861323 200 0.010836 -0.005374 -0.002092 1 1
154 1776785642.570848 0.588032 -0.259748 -0.106839 0.823269 199 0.018438 -0.002595 -0.002216 1 1
155 1776785642.676144 0.604071 -0.262394 -0.109466 0.865454 194 0.016039 -0.002645 -0.002627 1 1
156 1776785642.780814 0.626944 -0.263296 -0.111324 0.843127 202 -0.027127 -0.000903 -0.001858 1 1
157 1776785642.885925 0.646236 -0.263677 -0.115503 0.832742 192 0.019292 -0.000381 -0.004179 1 1
158 1776785642.990648 0.671847 -0.265892 -0.118249 0.809018 204 -0.024389 -0.002215 -0.002746 1 1
159 1776785643.095823 0.690868 -0.267931 -0.122051 0.805808 192 0.019021 -0.002039 -0.003802 1 1
160 1776785643.198901 0.718678 -0.272547 -0.124975 0.818784 202 -0.022190 -0.004616 -0.002923 1 1
161 1776785643.299058 0.744559 -0.278638 -0.128748 0.822397 197 -0.024119 -0.006091 -0.003773 1 1
162 1776785643.415671 0.772769 -0.278727 -0.132355 0.834270 193 -0.021789 -0.000089 -0.003607 1 1
163 1776785643.513562 0.799443 -0.284059 -0.135539 0.827462 198 -0.023326 -0.005332 -0.003185 0 0
