============================================================
Dataset      : lab_run_2
Scan variant : raw
Scan file    : /home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
Geometry     : beams=909  angle=[-180.0°, 180.0°]  range=[0.10, 16.00] m  has_odom=False
IMU file     : /home/kaushik/slam_ws/datasets/lab_run_2/imu.csv
Total scans  : 1052
Matcher      : scan_to_submap
Extrapolator : OFF (raw odom / last pose)
Odom alpha   : 0.0
Voxel filter : True
============================================================
Online PGO   : ON (g2o pose graph + loop closure)
MotionFilter thresholds:  time=0.100s  dist=0.100m  angle=4.50deg
Using PGO backend: G2oBackend2D
  ┌─── SUBMAP #0 CREATED at scan k=0  (pose=(0.00,0.00,0.00))  active=2  finished=0
k=  440 MATCH     pose=(8.76,0.63,-68.4°)  score=0.846  d=(-0.052,-0.024,-0.095)  inl=204  raw=595  pts=204  di=1
k=  450 MATCH     pose=(8.71,0.27,-112.7°)  score=0.869  d=(-0.035,0.020,-0.011)  inl=208  raw=575  pts=208  di=0
k=  460 MATCH     pose=(8.69,-0.14,-101.1°)  score=0.857  d=(-0.046,0.002,-0.005)  inl=202  raw=637  pts=202  di=1
k=  470 MATCH     pose=(8.61,-0.58,-112.7°)  score=0.841  d=(-0.031,0.024,-0.105)  inl=212  raw=575  pts=212  di=1
  ┌─── SUBMAP #7 CREATED at scan k=475  (pose=(8.50,-0.75,-2.46))  active=2  finished=6
k=  480 MATCH     pose=(8.26,-0.88,-148.7°)  score=0.825  d=(-0.039,-0.026,-0.014)  inl=210  raw=592  pts=211  di=1
k=  490 MATCH     pose=(7.85,-1.11,-158.6°)  score=0.737  d=(-0.053,-0.027,-0.022)  inl=201  raw=570  pts=201  di=1
k=  500 MATCH     pose=(7.35,-1.09,164.2°)  score=0.774  d=(-0.050,0.011,-0.022)  inl=206  raw=513  pts=206  di=1
k=  510 MATCH     pose=(6.90,-1.15,-166.1°)  score=0.739  d=(-0.028,-0.019,0.058)  inl=200  raw=531  pts=202  di=1
k=  520 MATCH     pose=(6.61,-1.31,-136.9°)  score=0.739  d=(-0.019,-0.025,0.049)  inl=203  raw=581  pts=203  di=0
k=  530 MATCH     pose=(6.48,-1.57,-112.0°)  score=0.774  d=(-0.008,-0.027,0.044)  inl=209  raw=560  pts=209  di=1
k=  540 MATCH     pose=(6.38,-1.94,-107.7°)  score=0.836  d=(-0.019,-0.045,-0.005)  inl=203  raw=390  pts=203  di=1
  ┌─── SUBMAP #8 CREATED at scan k=545  (pose=(6.30,-2.19,-1.89))  active=2  finished=7
k=  550 MATCH     pose=(6.33,-2.25,-108.7°)  score=0.857  d=(0.008,0.010,0.001)  inl=202  raw=503  pts=202  di=1
k=  560 MATCH     pose=(6.19,-2.48,-127.0°)  score=0.855  d=(0.032,0.004,-0.098)  inl=189  raw=454  pts=189  di=1
k=  570 MATCH     pose=(5.85,-2.63,-166.9°)  score=0.859  d=(0.039,-0.021,-0.018)  inl=195  raw=421  pts=195  di=1
