query,cand,dbow,coarse,refined,accepted
1656,1626,0.1885,148,0.993,False
1657,1625,0.1874,153,0.994,False
1657,1622,0.1859,156,0.994,False
1658,1625,0.1934,146,0.98,False
1658,1619,0.1777,144,0.986,False
1659,1628,0.2146,155,0.994,False
1659,1627,0.207,148,0.993,False
1660,1628,0.2181,156,0.987,False
1660,1625,0.2045,154,0.981,False
1661,1630,0.2121,154,0.987,False
1661,1627,0.2118,161,0.994,False
1662,1631,0.238,160,0.994,False
1662,1628,0.23,160,0.994,False
1663,1631,0.2024,163,1.0,False
1663,1633,0.1983,144,0.993,False
1664,1627,0.2191,160,0.994,False
1664,1628,0.2154,164,0.994,False
1665,1631,0.2536,159,1.0,False
1665,1628,0.2222,157,1.0,False
1666,1631,0.232,161,0.994,False
1666,1630,0.2094,154,0.994,False
1667,1628,0.2248,158,1.0,False
1667,1631,0.2122,158,1.0,False
1668,1631,0.242,162,1.0,False
1668,1628,0.23,159,0.994,False
1669,1631,0.2289,160,0.994,False
1669,1627,0.2138,156,1.0,False
1670,1631,0.2278,153,1.0,False
1671,1628,0.2383,152,1.0,False
1697,1667,0.3356,171,0.994,False
